,Entry Number,Detection Code,Date,Month,FY,City,County,State,LAT,LON,Common Name,Sci Name ,Host Plant Name,Male,Female (Unmated),Female (mated),Adult (unknown sex),Larvae,Stage,Fly Status,Priority,Eradication Code,Quarantine,Cluster,Trap,Location,Ratio Sterile:Wild,1 Fly Life Cycle,2 Fly Life Cycle,3 Fly Life Cycle,Notes,DD_from_first_detection,gen_from_first_detection,DD_from_last_detection,gen_from_last_detection
367,382,RS0P70005031,2023-10-24,,2024,Redlands,San Bernardino,CA,34.06,-117.21,OFF,Bactrocera dorsalis,Grapefruit,2.0,,,,,Adult,Quarantine,2 - Medium,,23CA-BER01.01.02,23CA-BER01.01,Jackson,,,,,,,533.7072811126709,0.85,8.21,0.01
368,381,RS0P70005033,2023-10-24,,2024,Yucaipa,San Bernardino,CA,34.04,-117.1,OFF,Bactrocera dorsalis,Fig,1.0,,,,,Adult,Quarantine,,,23CA-BER01.01.02,23CA-BER01.01,Jackson,,,,,,,498.8247391028716,0.8,84.07,0.13
369,380,RS0P70005047,2023-10-24,,2024,Redlands,San Bernardino,CA,34.04,-117.14,OFF,Bactrocera dorsalis,Avocado,2.0,,,,,Adult,Quarantine,3 - Low,,23CA-BER01.01.02,23CA-BER01.01,Jackson,,,,,,,512.8942270278931,0.82,7.31,0.01
370,379,RS0P70005048,2023-10-24,,2024,Redlands,San Bernardino,CA,34.03,-117.12,OFF,Bactrocera dorsalis,Fig,,1.0,,,,Adult,Quarantine,3 - Low,,23CA-BER01.01.02,23CA-BER01.01,McPhail,,,,,,,512.8942270278931,0.82,7.31,0.01
371,378,RS0P70005049,2023-10-24,,2024,Redlands,San Bernardino,CA,34.04,-117.21,OFF,Bactrocera dorsalis,Orange,1.0,,,,,Adult,Quarantine,2 - Medium,,23CA-BER01.01.02,23CA-BER01.01,Jackson,,,,,,,533.7072811126709,0.85,8.21,0.01
372,377,RS0P70005050,2023-10-24,,2024,Yucaipa,San Bernardino,CA,34.03,-117.11,OFF,Bactrocera dorsalis,Pineapple guava,1.0,,,,,Adult,Quarantine,,,23CA-BER01.01.02,23CA-BER01.01,Jackson,,,,,,,512.8942270278931,0.82,7.31,0.01
373,376,RS0P70005052,2023-10-24,,2024,Redlands,San Bernardino,CA,34.02,-117.13,OFF,Bactrocera dorsalis,Orange,1.0,,,,,Adult,Quarantine,3 - Low,,23CA-BER01.01.02,23CA-BER01.01,Jackson,,,,,,,497.91527517273414,0.8,7.24,0.01
374,375,RS0P70005053,2023-10-24,,2024,Redlands,San Bernardino,CA,34.02,-117.12,OFF,Bactrocera dorsalis,Orange,1.0,,,,,Adult,Quarantine,3 - Low,,23CA-BER01.01.02,23CA-BER01.01,Jackson,,,,,,,497.91527517273414,0.8,7.24,0.01
375,374,RS0P70005054,2023-10-24,,2024,Redlands,San Bernardino,CA,34.03,-117.13,OFF,Bactrocera dorsalis,Orange,2.0,,,,,Adult,Quarantine,3 - Low,,23CA-BER01.01.02,23CA-BER01.01,Jackson,,,,,,,512.8942270278931,0.82,7.31,0.01
376,373,RS0P70005055,2023-10-24,,2024,Redlands,San Bernardino,CA,34.02,-117.13,OFF,Bactrocera dorsalis,Grapefruit,1.0,,,,,Adult,Quarantine,3 - Low,,23CA-BER01.01.02,23CA-BER01.01,Jackson,,,,,,,497.91527517273414,0.8,7.24,0.01
377,372,RS0P70005056,2023-10-24,,2024,Redlands,San Bernardino,CA,34.02,-117.13,OFF,Bactrocera dorsalis,Avocado,,1.0,,,,Adult,Quarantine,3 - Low,,23CA-BER01.01.02,23CA-BER01.01,McPhail,,,,,,,497.91527517273414,0.8,7.24,0.01
378,371,RS0P70005058,2023-10-24,,2024,Redlands,San Bernardino,CA,34.02,-117.15,OFF,Bactrocera dorsalis,Orange,1.0,,,,,Adult,Quarantine,3 - Low,,23CA-BER01.01.02,23CA-BER01.01,Jackson,,,,,,,513.2047780109351,0.82,7.44,0.01
379,370,RS0P70005059,2023-10-24,,2024,Yucaipa,San Bernardino,CA,34.03,-117.12,OFF,Bactrocera dorsalis,Olive,,1.0,,,,Adult,Quarantine,,,23CA-BER01.01.02,23CA-BER01.01,McPhail,,,,,,,512.8942270278931,0.82,7.31,0.01
380,369,RS0P70005060,2023-10-24,,2024,Redlands,San Bernardino,CA,34.02,-117.14,OFF,Bactrocera dorsalis,Shade Tree,1.0,,,,,Adult,Quarantine,3 - Low,,23CA-BER01.01.02,23CA-BER01.01,Jackson,,,,,,,497.91527517273414,0.8,7.24,0.01
381,368,RS0P70005023,2023-10-19,,2024,Yucaipa,San Bernardino,CA,34.04,-117.07,OFF,Bactrocera dorsalis,Blueberry Tree,1.0,,,,,Adult,Quarantine,,,23CA-BER01.01.02,23CA-BER01.01,Jackson,,,,,,,433.19829094842214,0.69,34.19,0.05
382,367,RS0P70005024,2023-10-19,,2024,Redlands,San Bernardino,CA,34.05,-117.19,OFF,Bactrocera dorsalis,Persimmon,2.0,,,,,Adult,Quarantine,,,23CA-BER01.01.02,23CA-BER01.01,Jackson,,,,,,,464.43218517303467,0.74,18.71,0.03
383,366,RS0P70005021,2023-10-19,,2024,Highland,San Bernardino,CA,34.11,-117.17,OFF,Bactrocera dorsalis,Orange,1.0,,,,,Adult,Quarantine,,,23CA-BER01.01.02,23CA-BER01.01,Jackson,,,,,,,466.8197298049927,0.75,19.24,0.03
384,365,RS0P70005025,2023-10-19,,2024,Redlands,San Bernardino,CA,34.03,-117.15,OFF,Bactrocera dorsalis,Orange,1.0,,,,,Adult,Quarantine,,,23CA-BER01.01.02,23CA-BER01.01,Jackson,,,,,,,459.3116307258606,0.73,18.79,0.03
385,364,RS0P70005027,2023-10-19,,2024,Redlands,San Bernardino,CA,34.02,-117.15,OFF,Bactrocera dorsalis,Orange,1.0,,,,,Adult,Quarantine,,,23CA-BER01.01.02,23CA-BER01.01,Jackson,,,,,,,446.24993019828247,0.71,18.62,0.03
386,363,RS0P70005044,2023-10-19,,2024,Redlands,San Bernardino,CA,34.03,-117.14,OFF,Bactrocera dorsalis,Lemon,2.0,,,,,Adult,Quarantine,,,23CA-BER01.01.02,23CA-BER01.01,McPhail,,,,,,,445.65447902679443,0.71,18.83,0.03
387,362,RS0P70005042,2023-10-19,,2024,Redlands,San Bernardino,CA,34.03,-117.14,OFF,Bactrocera dorsalis,Lemon,1.0,,,,,Adult,Quarantine,,,23CA-BER01.01.02,23CA-BER01.01,Jackson,,,,,,,445.65447902679443,0.71,18.83,0.03
388,361,RS0P70005041,2023-10-19,,2024,Redlands,San Bernardino,CA,34.03,-117.15,OFF,Bactrocera dorsalis,Lemon,11.0,,,,,Adult,Quarantine,,,23CA-BER01.01.02,23CA-BER01.01,Jackson,,,,,,,459.3116307258606,0.73,18.79,0.03
389,360,RS0P70005026,2023-10-19,,2024,Redlands,San Bernardino,CA,34.03,-117.14,OFF,Bactrocera dorsalis,Lemon,5.0,,,,,Adult,Quarantine,,,23CA-BER01.01.02,23CA-BER01.01,Jackson,,,,,,,445.65447902679443,0.71,18.83,0.03
390,359,RS0P70005043,2023-10-19,,2024,Redlands,San Bernardino,CA,34.03,-117.14,OFF,Bactrocera dorsalis,Grapefruit,5.0,,,,,Adult,Quarantine,3 - Low,,23CA-BER01.01.02,23CA-BER01.01,Jackson,,,,,,,445.65447902679443,0.71,18.83,0.03
391,358,RS0P70005046,2023-10-19,,2024,Redlands,San Bernardino,CA,34.03,-117.14,OFF,Bactrocera dorsalis,Grapefruit,1.0,,,,,Adult,Quarantine,,,23CA-BER01.01.02,23CA-BER01.01,McPhail,,,,,,,445.65447902679443,0.71,18.83,0.03
392,357,RS0P70005022,2023-10-19,,2024,Yucaipa,San Bernardino,CA,34.04,-117.08,OFF,Bactrocera dorsalis,Ornamental Plum,1.0,,,,,Adult,Quarantine,,,23CA-BER01.01.02,23CA-BER01.01,Jackson,,,,,,,433.19829094842214,0.69,18.45,0.03
565,184,RS0P70005051,2023-10-19,,2024,Riverside,Riverside,CA,33.97,-117.39,OFF,Bactrocera dorsalis,Ornamental tree,1.0,,,,,Adult,Quarantine,,24CA-E03-F02,23CA-BER01.01.06,23CA-BER01.01,Jackson,,,,,,,484.722927570343,0.78,18.42,0.03
566,183,RS0P70005045,2023-10-19,,2024,Riverside,Riverside,CA,33.96,-117.39,OFF,Bactrocera dorsalis,Shade Tree,1.0,,,,,Adult,Quarantine,,24CA-E03-F01,23CA-BER01.01.06,23CA-BER01.01,Jackson,,,,,,,484.722927570343,0.78,18.42,0.03
393,356,RS0P70005020,2023-10-18,,2024,Redlands,San Bernardino,CA,34.04,-117.16,OFF,Bactrocera dorsalis,Orange,1.0,,,,,Adult,Quarantine,,,23CA-BER01.01.02,23CA-BER01.01,Jackson,,,,,,,440.5240807533264,0.7,15.96,0.03
394,355,RS0P70005019,2023-10-18,,2024,Redlands,San Bernardino,CA,34.04,-117.14,OFF,Bactrocera dorsalis,Orange,1.0,,,,,Adult,Quarantine,,,23CA-BER01.01.02,23CA-BER01.01,Jackson,,,,,,,426.8238286972046,0.68,15.92,0.03
395,354,RS0P70005018,2023-10-18,,2024,Redlands,San Bernardino,CA,34.04,-117.14,OFF,Bactrocera dorsalis,Grapefruit,1.0,,,,,Adult,Quarantine,,,23CA-BER01.01.02,23CA-BER01.01,Jackson,,,,,,,426.8238286972046,0.68,32.38,0.05
396,353,RS0P70005001,2023-10-17,,2024,Redlands,San Bernardino,CA,34.04,-117.13,OFF,Bactrocera dorsalis,Orange,1.0,,,,,Adult,Quarantine,,,23CA-BER01.01.02,23CA-BER01.01,Jackson,,,,,,,410.90607929229736,0.66,16.46,0.03
397,352,RS0P70005002,2023-10-17,,2024,Redlands,San Bernardino,CA,34.03,-117.15,OFF,Bactrocera dorsalis,Lemon,2.0,,,,,Adult,Quarantine,,,23CA-BER01.01.02,23CA-BER01.01,Jackson,,,,,,,424.56498098373413,0.68,16.5,0.03
398,351,RS0P70005003,2023-10-17,,2024,Redlands,San Bernardino,CA,34.03,-117.14,OFF,Bactrocera dorsalis,Grapefruit,2.0,,,,,Adult,Quarantine,,,23CA-BER01.01.02,23CA-BER01.01,Jackson,,,,,,,410.90607929229736,0.66,16.46,0.03
399,350,RS0P70005004,2023-10-17,,2024,Redlands,San Bernardino,CA,34.03,-117.14,OFF,Bactrocera dorsalis,Lemon,5.0,,,,,Adult,Quarantine,,,23CA-BER01.01.02,23CA-BER01.01,Jackson,,,,,,,410.90607929229736,0.66,16.46,0.03
400,349,RS0P70005005,2023-10-17,,2024,Redlands,San Bernardino,CA,34.02,-117.14,OFF,Bactrocera dorsalis,Fig,1.0,,,,,Adult,Quarantine,,,23CA-BER01.01.02,23CA-BER01.01,Jackson,,,,,,,399.2464795871018,0.64,15.77,0.03
401,348,RS0P70005006,2023-10-17,,2024,Redlands,San Bernardino,CA,34.02,-117.12,OFF,Bactrocera dorsalis,Lemon,1.0,,,,,Adult,Quarantine,,,23CA-BER01.01.02,23CA-BER01.01,McPhail,,,,,,,399.2464795871018,0.64,15.77,0.03
402,347,RS0P70005007,2023-10-17,,2024,Redlands,San Bernardino,CA,34.03,-117.16,OFF,Bactrocera dorsalis,Lemon,1.0,,,,,Adult,Quarantine,,,23CA-BER01.01.02,23CA-BER01.01,Jackson,,,,,,,424.56498098373413,0.68,33.11,0.05
403,346,RS0P70005008,2023-10-17,,2024,Redlands,San Bernardino,CA,34.02,-117.14,OFF,Bactrocera dorsalis,Shade Tree,1.0,,,,,Adult,Quarantine,,,23CA-BER01.01.02,23CA-BER01.01,McPhail,,,,,,,399.2464795871018,0.64,15.77,0.03
404,345,RS0P70005009,2023-10-17,,2024,Redlands,San Bernardino,CA,34.02,-117.15,OFF,Bactrocera dorsalis,Orange,1.0,,,,,Adult,Quarantine,,,23CA-BER01.01.02,23CA-BER01.01,Jackson,,,,,,,411.9276311946814,0.66,16.09,0.03
405,344,RS0P70005010,2023-10-17,,2024,Redlands,San Bernardino,CA,34.03,-117.15,OFF,Bactrocera dorsalis,Lime,1.0,,,,,Adult,Quarantine,,,23CA-BER01.01.02,23CA-BER01.01,McPhail,,,,,,,424.56498098373413,0.68,16.5,0.03
406,343,RS0P70005011,2023-10-17,,2024,Redlands,San Bernardino,CA,34.03,-117.14,OFF,Bactrocera dorsalis,Olive,3.0,,,,,Adult,Quarantine,,,23CA-BER01.01.02,23CA-BER01.01,Jackson,,,,,,,410.90607929229736,0.66,16.46,0.03
407,342,RS0P70005012,2023-10-17,,2024,Redlands,San Bernardino,CA,34.03,-117.14,OFF,Bactrocera dorsalis,Grapefruit,,1.0,,,,Adult,Quarantine,,,23CA-BER01.01.02,23CA-BER01.01,McPhail,,,,,,,410.90607929229736,0.66,16.46,0.03
408,341,RS0P70005013,2023-10-17,,2024,Redlands,San Bernardino,CA,34.02,-117.15,OFF,Bactrocera dorsalis,Orange,1.0,,,,,Adult,Quarantine,,,23CA-BER01.01.02,23CA-BER01.01,Jackson,,,,,,,411.9276311946814,0.66,16.09,0.03
409,340,RS0P70005014,2023-10-17,,2024,Redlands,San Bernardino,CA,34.04,-117.15,OFF,Bactrocera dorsalis,Grapefruit,1.0,,,,,Adult,Quarantine,,,23CA-BER01.01.02,23CA-BER01.01,Jackson,,,,,,,424.56498098373413,0.68,16.5,0.03
410,339,RS0P70005015,2023-10-17,,2024,Redlands,San Bernardino,CA,34.03,-117.14,OFF,Bactrocera dorsalis,Lemon,1.0,,,,,Adult,Quarantine,,,23CA-BER01.01.02,23CA-BER01.01,Jackson,,,,,,,410.90607929229736,0.66,16.46,0.03
411,338,RS0P70005016,2023-10-17,,2024,Redlands,San Bernardino,CA,34.02,-117.14,OFF,Bactrocera dorsalis,Orange,2.0,,,,,Adult,Quarantine,,,23CA-BER01.01.02,23CA-BER01.01,Jackson,,,,,,,399.2464795871018,0.64,15.77,0.03
412,337,RS0P70005017,2023-10-17,,2024,Mentone,San Bernardino,CA,34.06,-117.12,OFF,Bactrocera dorsalis,Lemon,1.0,,,,,Adult,Quarantine,,,23CA-BER01.01.02,23CA-BER01.01,Jackson,,,,,,,410.90607929229736,0.66,16.46,0.03
413,336,RS0P50040648,2023-10-16,,2024,Redlands,San Bernardino,CA,34.03,-117.14,OFF,Bactrocera dorsalis,Olive,,1.0,,,,Adult,Quarantine,,,23CA-BER01.01.02,23CA-BER01.01,McPhail,,,,,,,394.4462299346924,0.63,16.6,0.03
414,335,RS0P50040649,2023-10-16,,2024,Redlands,San Bernardino,CA,34.04,-117.14,OFF,Bactrocera dorsalis,Avocado,,1.0,,,,Adult,Quarantine,,,23CA-BER01.01.02,23CA-BER01.01,McPhail,,,,,,,394.4462299346924,0.63,16.6,0.03
415,334,RS0P50040650,2023-10-16,,2024,Redlands,San Bernardino,CA,34.03,-117.13,OFF,Bactrocera dorsalis,Asian Pear,1.0,,,,,Adult,Quarantine,,,23CA-BER01.01.02,23CA-BER01.01,McPhail,,,,,,,394.4462299346924,0.63,16.6,0.03
416,333,RS0P50040655,2023-10-16,,2024,Redlands,San Bernardino,CA,34.03,-117.14,OFF,Bactrocera dorsalis,Grapefruit,,2.0,,,,Adult,Quarantine,,,23CA-BER01.01.02,23CA-BER01.01,McPhail,,,,,,,394.4462299346924,0.63,16.6,0.03
417,332,RS0P50040651,2023-10-16,,2024,Redlands,San Bernardino,CA,34.03,-117.14,OFF,Bactrocera dorsalis,Lemon,,1.0,,,,Adult,Quarantine,,,23CA-BER01.01.02,23CA-BER01.01,McPhail,,,,,,,394.4462299346924,0.63,50.41,0.08
418,331,RS0P50040656,2023-10-16,,2024,Redlands,San Bernardino,CA,34.03,-117.15,OFF,Bactrocera dorsalis,Shade Tree,,1.0,,,,Adult,Quarantine,,,23CA-BER01.01.02,23CA-BER01.01,McPhail,,,,,,,408.06963205337524,0.65,16.62,0.03
419,330,RS0P50040674,2023-10-16,,2024,Redlands,San Bernardino,CA,34.03,-117.14,OFF,Bactrocera dorsalis,Lemon,1.0,,,,,Adult,Quarantine,,,23CA-BER01.01.02,23CA-BER01.01,Jackson,,,,,,,394.4462299346924,0.63,16.6,0.03
420,329,RS0P50040675,2023-10-16,,2024,Redlands,San Bernardino,CA,34.04,-117.15,OFF,Bactrocera dorsalis,Guava,1.0,,,,,Adult,Quarantine,,,23CA-BER01.01.02,23CA-BER01.01,Jackson,,,,,,,408.06963205337524,0.65,16.62,0.03
421,328,RS0P50040676,2023-10-16,,2024,Redlands,San Bernardino,CA,34.03,-117.14,OFF,Bactrocera dorsalis,Olive,2.0,,,,,Adult,Quarantine,,,23CA-BER01.01.02,23CA-BER01.01,Jackson,,,,,,,394.4462299346924,0.63,16.6,0.03
422,327,RS0P50040677,2023-10-16,,2024,Redlands,San Bernardino,CA,34.02,-117.13,OFF,Bactrocera dorsalis,Grapefruit,,1.0,,,,Adult,Quarantine,,,23CA-BER01.01.02,23CA-BER01.01,McPhail,,,,,,,383.47392948105323,0.61,15.88,0.03
423,326,RS0P50040678,2023-10-16,,2024,Redlands,San Bernardino,CA,34.04,-117.15,OFF,Bactrocera dorsalis,Orange,,1.0,,,,Adult,Quarantine,,,23CA-BER01.01.02,23CA-BER01.01,McPhail,,,,,,,408.06963205337524,0.65,16.62,0.03
424,325,RS0P50040671,2023-10-16,,2024,Redlands,San Bernardino,CA,34.03,-117.15,OFF,Bactrocera dorsalis,Orange,1.0,,,,,Adult,Quarantine,,,23CA-BER01.01.02,23CA-BER01.01,Jackson,,,,,,,408.06963205337524,0.65,16.62,0.03
425,324,RS0P50040672,2023-10-16,,2024,Redlands,San Bernardino,CA,34.04,-117.14,OFF,Bactrocera dorsalis,Orange,1.0,,,,,Adult,Quarantine,,,23CA-BER01.01.02,23CA-BER01.01,Jackson,,,,,,,394.4462299346924,0.63,16.6,0.03
426,323,RS0P50040673,2023-10-16,,2024,Redlands,San Bernardino,CA,34.02,-117.14,OFF,Bactrocera dorsalis,Olive,1.0,,,,,Adult,Quarantine,,,23CA-BER01.01.02,23CA-BER01.01,Jackson,,,,,,,383.47392948105323,0.61,15.88,0.03
427,322,RS0P50040667,2023-10-13,,2024,Redlands,San Bernardino,CA,34.02,-117.15,OFF,Bactrocera dorsalis,Orange,,1.0,,,,Adult,Quarantine,,,23CA-BER01.01.02,23CA-BER01.01,McPhail,,,1/13/2024,4/26/2024,6/18/2024,,356.36153441199707,0.57,18.27,0.03
428,321,RS0P50040664,2023-10-13,,2024,Mentone,San Bernardino,CA,34.08,-117.14,OFF,Bactrocera dorsalis,Avocado,1.0,,,,,Adult,Quarantine,,,23CA-BER01.01.02,23CA-BER01.01,Jackson,,,,,,,375.66913509368896,0.6,11.12,0.02
429,320,RS0P50040665,2023-10-13,,2024,Redlands,San Bernardino,CA,34.03,-117.14,OFF,Bactrocera dorsalis,Kumquat,,,,,5.0,Larva,Quarantine,3 - Low,,23CA-BER01.01.02,23CA-BER01.01,,,,,,,,354.1706304550171,0.57,10.14,0.02
430,319,RS0P50040666,2023-10-13,,2024,Redlands,San Bernardino,CA,34.05,-117.18,OFF,Bactrocera dorsalis,Kumquat,2.0,,,,,Adult,Quarantine,,,23CA-BER01.01.02,23CA-BER01.01,Jackson,,,,,,,367.3187847137451,0.59,10.61,0.02
431,318,RS0P50040668,2023-10-13,,2024,Redlands,San Bernardino,CA,34.08,-117.19,OFF,Bactrocera dorsalis,Orange,1.0,,,,,Adult,Quarantine,,,23CA-BER01.01.02,23CA-BER01.01,Jackson,,,,,,,388.18578147888184,0.62,11.46,0.02
432,317,RS0P50040669,2023-10-13,,2024,Redlands,San Bernardino,CA,34.02,-117.13,OFF,Bactrocera dorsalis,Fig,,,,,3.0,Larva,Quarantine,2 - Medium,,23CA-BER01.01.02,23CA-BER01.01,,,,,,,,345.2449804110764,0.55,9.8,0.02
228,521,RS0P50040631,2023-10-12,,2024,Redlands,San Bernardino,CA,34.04,-117.12,OFF,Bactrocera dorsalis,Orange,1.0,,,,,Adult,Quarantine,,,23CA-BER01.01.01,23CA-BER01.01,Jackson,,,,,,,344.0347309112549,0.55,8.0,0.01
229,520,RS0P50040632,2023-10-12,,2024,Redlands,San Bernardino,CA,34.04,-117.13,OFF,Bactrocera dorsalis,Avocado,1.0,,,,,Adult,Quarantine,,,23CA-BER01.01.01,23CA-BER01.01,Jackson,,,,,,,344.0347309112549,0.55,8.0,0.01
230,519,RS0P50040633,2023-10-12,,2024,Redlands,San Bernardino,CA,34.02,-117.1,OFF,Bactrocera dorsalis,Peach,1.0,,,,,Adult,Quarantine,,,23CA-BER01.01.01,23CA-BER01.01,Jackson,,,,,,,324.1327634986966,0.52,7.24,0.01
231,518,RS0P50040634,2023-10-12,,2024,Redlands,San Bernardino,CA,34.04,-117.14,OFF,Bactrocera dorsalis,Grapefruit,,1.0,,,,Adult,Quarantine,,,23CA-BER01.01.01,23CA-BER01.01,McPhail,,,,,,,344.0347309112549,0.55,8.0,0.01
232,517,RS0P50040635,2023-10-12,,2024,Redlands,San Bernardino,CA,34.04,-117.15,OFF,Bactrocera dorsalis,Grapefruit,,1.0,,,,Adult,Quarantine,,,23CA-BER01.01.01,23CA-BER01.01,McPhail,,,,,,,356.70618534088135,0.57,8.45,0.01
233,516,RS0P50040636,2023-10-12,,2024,Redlands,San Bernardino,CA,34.04,-117.14,OFF,Bactrocera dorsalis,Orange,1.0,,,,,Adult,Quarantine,,,23CA-BER01.01.01,23CA-BER01.01,Jackson,,,,,,,344.0347309112549,0.55,8.0,0.01
234,515,RS0P50040637,2023-10-12,,2024,Redlands,San Bernardino,CA,34.04,-117.14,OFF,Bactrocera dorsalis,Persimmon,,1.0,,,,Adult,Quarantine,,,23CA-BER01.01.01,23CA-BER01.01,McPhail,,,,,,,344.0347309112549,0.55,8.0,0.01
235,514,RS0P50040638,2023-10-12,,2024,Redlands,San Bernardino,CA,34.04,-117.15,OFF,Bactrocera dorsalis,Orange,1.0,,,,,Adult,Quarantine,,,23CA-BER01.01.01,23CA-BER01.01,Jackson,,,,,,,356.70618534088135,0.57,19.31,0.03
236,513,RS0P50040639,2023-10-12,,2024,Redlands,San Bernardino,CA,34.05,-117.15,OFF,Bactrocera dorsalis,Lemon,,1.0,,,,Adult,Quarantine,,,23CA-BER01.01.01,23CA-BER01.01,McPhail,,,,,,,356.70618534088135,0.57,8.45,0.01
237,512,RS0P50040640,2023-10-12,,2024,Redlands,San Bernardino,CA,34.03,-117.15,OFF,Bactrocera dorsalis,Lemon,1.0,,,,,Adult,Quarantine,,,23CA-BER01.01.01,23CA-BER01.01,Jackson,,,,,,,356.70618534088135,0.57,8.45,0.01
238,511,RS0P50040641,2023-10-12,,2024,Redlands,San Bernardino,CA,34.03,-117.14,OFF,Bactrocera dorsalis,Lemon,1.0,,,,,Adult,Quarantine,,,23CA-BER01.01.01,23CA-BER01.01,Jackson,,,,,,,344.0347309112549,0.55,8.0,0.01
239,510,RS0P50040642,2023-10-12,,2024,Redlands,San Bernardino,CA,34.04,-117.14,OFF,Bactrocera dorsalis,Orange,1.0,,,,,Adult,Quarantine,,,23CA-BER01.01.01,23CA-BER01.01,Jackson,,,,,,,344.0347309112549,0.55,8.0,0.01
240,509,RS0P50040643,2023-10-12,,2024,Redlands,San Bernardino,CA,34.03,-117.15,OFF,Bactrocera dorsalis,Orange,1.0,,,,,Adult,Quarantine,,,23CA-BER01.01.01,23CA-BER01.01,Jackson,,,,,,,356.70618534088135,0.57,8.45,0.01
241,508,RS0P50040644,2023-10-12,,2024,Redlands,San Bernardino,CA,34.04,-117.14,OFF,Bactrocera dorsalis,Avocado,1.0,,,,,Adult,Quarantine,,,23CA-BER01.01.01,23CA-BER01.01,Jackson,,,,,,,344.0347309112549,0.55,8.0,0.01
242,507,RS0P50040645,2023-10-12,,2024,Redlands,San Bernardino,CA,34.03,-117.14,OFF,Bactrocera dorsalis,Grapefruit,3.0,,,,,Adult,Quarantine,,,23CA-BER01.01.01,23CA-BER01.01,Jackson,,,,,,,344.0347309112549,0.55,8.0,0.01
243,506,RS0P50040658,2023-10-12,,2024,Redlands,San Bernardino,CA,34.03,-117.14,OFF,Bactrocera dorsalis,Lemon,1.0,6.0,,,,Adult,Quarantine,,,23CA-BER01.01.01,23CA-BER01.01,McPhail,,,,,,,344.0347309112549,0.55,8.0,0.01
244,505,RS0P50040659,2023-10-12,,2024,Redlands,San Bernardino,CA,34.03,-117.14,OFF,Bactrocera dorsalis,Grapefruit,,1.0,,,,Adult,Quarantine,,,23CA-BER01.01.01,23CA-BER01.01,McPhail,,,,,,,344.0347309112549,0.55,8.0,0.01
245,504,RS0P50040660,2023-10-12,,2024,Redlands,San Bernardino,CA,34.03,-117.15,OFF,Bactrocera dorsalis,Magnolia,1.0,,,,,Adult,Quarantine,,,23CA-BER01.01.01,23CA-BER01.01,McPhail,,,,,,,356.70618534088135,0.57,8.45,0.01
246,503,RS0P50040661,2023-10-12,,2024,Redlands,San Bernardino,CA,34.08,-117.1,OFF,Bactrocera dorsalis,Orange,,1.0,,,,Adult,Quarantine,,,23CA-BER01.01.01,23CA-BER01.01,McPhail,,,,,,,332.851667881174,0.53,7.13,0.01
247,502,RS0P50040626,2023-10-11,,2024,Redlands,San Bernardino,CA,34.05,-117.12,OFF,Bactrocera dorsalis,Avocado,1.0,,,,,Adult,Quarantine,,,23CA-BER01.01.01,23CA-BER01.01,Jackson,,,,,,,336.02988147735596,0.54,25.15,0.04
248,501,RS0P50040627,2023-10-11,,2024,Redlands,San Bernardino,CA,34.03,-117.16,OFF,Bactrocera dorsalis,Lemon,2.0,,,,,Adult,Quarantine,,,23CA-BER01.01.01,23CA-BER01.01,Jackson,,,,,,,348.2558355331421,0.56,10.86,0.02
249,500,RS0P50040628,2023-10-11,,2024,Redlands,San Bernardino,CA,34.03,-117.16,OFF,Bactrocera dorsalis,Grapefruit,1.0,,,,,Adult,Quarantine,,,23CA-BER01.01.01,23CA-BER01.01,Jackson,,,,,,,348.2558355331421,0.56,10.86,0.02
250,499,RS0P50040629,2023-10-11,,2024,Redlands,San Bernardino,CA,34.03,-117.15,OFF,Bactrocera dorsalis,Orange,,1.0,,,,Adult,Quarantine,,,23CA-BER01.01.01,23CA-BER01.01,McPhail,,,,,,,348.2558355331421,0.56,10.86,0.02
251,498,RS0P50040630,2023-10-11,,2024,Redlands,San Bernardino,CA,34.04,-117.15,OFF,Bactrocera dorsalis,Olive,,1.0,,,,Adult,Quarantine,,,23CA-BER01.01.01,23CA-BER01.01,Jackson,,,,,,,348.2558355331421,0.56,10.86,0.02
252,497,RS0P50040541,2023-10-11,,2024,Redlands,San Bernardino,CA,34.03,-117.14,OFF,Bactrocera dorsalis,Grapefruit,,,,,1.0,Larva,Quarantine,3 - Low,,23CA-BER01.01.01,23CA-BER01.01,,,,,,,,336.02988147735596,0.54,10.76,0.02
253,496,RS0P50040614,2023-10-11,,2024,Redlands,San Bernardino,CA,34.03,-117.14,OFF,Bactrocera dorsalis,Lemon,5.0,18.0,,,,Adult,Quarantine,,,23CA-BER01.01.01,23CA-BER01.01,McPhail,,,,,,,336.02988147735596,0.54,10.76,0.02
254,495,RS0P50040615,2023-10-11,,2024,Redlands,San Bernardino,CA,34.03,-117.13,OFF,Bactrocera dorsalis,Asian Pear,,2.0,,,,Adult,Quarantine,,,23CA-BER01.01.01,23CA-BER01.01,McPhail,,,,,,,336.02988147735596,0.54,10.76,0.02
255,494,RS0P50040616,2023-10-11,,2024,Redlands,San Bernardino,CA,34.03,-117.14,OFF,Bactrocera dorsalis,Grapefruit,,1.0,,,,Adult,Quarantine,,,23CA-BER01.01.01,23CA-BER01.01,McPhail,,,,,,,336.02988147735596,0.54,10.76,0.02
