Entry Number,Detection Code,Date,Month,FY,City,County,State,LAT,LON,Common Name,Sci Name ,Host Plant Name,Male,Female (Unmated),Female (mated),Adult (unknown sex),Larvae,Stage,Fly Status,Priority,Eradication Code,Quarantine,Cluster,Trap,Location,Ratio Sterile:Wild,1 Fly Life Cycle,2 Fly Life Cycle,3 Fly Life Cycle,Notes
725,AH0P06298612,9/29/2022,,2022,Westminster,Orange,CA,33.74,-117.95,OFF,Bactrocera dorsalis,Pomelo,,1,,,,Adult,Quarantine,,,22CA-ORA01.01,22CA-ORA01.01,McPhail,,,12/4/2022,4/11/2023,6/22/2023,
724,AH0P06298493,9/28/2022,,2022,Westminster,Orange,CA,33.74,-117.96,OFF,Bactrocera dorsalis,Guava,2,,,,,Adult,Quarantine,,,22CA-ORA01.01,22CA-ORA01.01,Jackson,,,12/2/2022,4/9/2023,6/21/2023,
723,AH0P06298611,9/27/2022,,2022,Westminster,Orange,CA,33.74,-117.96,OFF,Bactrocera dorsalis,Persimmon,1,,,,,Adult,Quarantine,,,22CA-ORA01.01,22CA-ORA01.01,Jackson,,,11/29/2022,4/3/2023,6/19/2023,
722,AH0P06298610,9/27/2022,,2022,Westminster,Orange,CA,33.75,-117.96,OFF,Bactrocera dorsalis,Persimmon,,1,,,,Adult,Quarantine,,,22CA-ORA01.01,22CA-ORA01.01,McPhail,,,11/29/2022,4/3/2023,6/19/2023,
721,AH0P06298608,9/23/2022,,2022,Westminster,Orange,CA,33.74,-117.96,OFF,Bactrocera dorsalis,Fig,1,,,,,Adult,Quarantine,,,22CA-ORA01.01,22CA-ORA01.01,Jackson,,,11/20/2022,3/25/2023,6/13/2023,
720,AH0P06298609,9/23/2022,,2022,Westminster,Orange,CA,33.74,-117.96,OFF,Bactrocera dorsalis,Guava,1,,,,,Adult,Quarantine,,,22CA-ORA01.01,22CA-ORA01.01,Jackson,,,11/20/2022,3/25/2023,6/13/2023,
719,AM0P06298607,9/22/2022,,2022,Westminster,Orange,CA,33.75,-117.96,OFF,Bactrocera dorsalis,Persimmon,,1,,,,Adult,Quarantine,,,22CA-ORA01.01,22CA-ORA01.01,McPhail,,,11/20/2022,3/25/2023,6/13/2023,
718,AM0P50056021,9/22/2022,,2022,Westminster,Orange,CA,33.74,-117.96,OFF,Bactrocera dorsalis,Pomelo,,,,,4,Larva,Quarantine,,,22CA-ORA01.01,22CA-ORA01.01,,,,,,,
717,AH0P06298592,9/13/2022,,2022,Garden Grove,Orange,CA,33.76,-117.96,OFF,Bactrocera dorsalis,Persimmon,1,,,,,Adult,Quarantine,2 - High,,22CA-ORA01.01,22CA-ORA01.01,Jackson,,,10/31/2022,2/20/2023,5/29/2023,
716,AH0P06298591,9/13/2022,,2022,Fountain Valley,Orange,CA,33.72,-117.96,OFF,Bactrocera dorsalis,Jujube,1,,,,,Adult,Quarantine,,22CA-E08-F07,22CA-ORA01.01,22CA-ORA01.01,Jackson,,,10/31/2022,2/20/2023,5/29/2023,
715,AH0P06298588,9/10/2022,,2022,Fountain Valley,Orange,CA,33.72,-117.96,OFF,Bactrocera dorsalis,Guava,,1,,,,Adult,Quarantine,,22CA-E08-F06,22CA-ORA01.01,22CA-ORA01.01,McPhail,,,10/25/2022,2/9/2023,5/23/2023,
714,AH0P06298589,9/10/2022,,2022,Westminster,Orange,CA,33.74,-117.96,OFF,Bactrocera dorsalis,Guava,1,,,,,Adult,Quarantine,,22CA-E08-F05,22CA-ORA01.01,22CA-ORA01.01,Jackson,,,10/25/2022,2/9/2023,5/23/2023,
713,AH0P06298587,9/9/2022,,2022,Garden Grove,Orange,CA,33.76,-117.95,OFF,Bactrocera dorsalis,Rose Apple,,1,,,,Adult,Quarantine,,22CA-E08-F04,22CA-ORA01.01,22CA-ORA01.01,Jackson,,,10/23/2022,2/6/2023,5/21/2023,
712,AH0P06298525,9/8/2022,,2022,Fountain Valley,Orange,CA,33.72,-117.96,OFF,Bactrocera dorsalis,Jujube,1,,,,,Adult,Quarantine,,22CA-E08-F03,22CA-ORA01.01,22CA-ORA01.01,Jackson,,,10/21/2022,2/3/2023,5/19/2023,
711,AH0P06298523,9/7/2022,,2022,Westminster,Orange,CA,33.74,-117.96,OFF,Bactrocera dorsalis,Guava,1,,,,,Adult,Quarantine,,22CA-E08-F02,22CA-ORA01.01,22CA-ORA01.01,Jackson,,,10/20/2022,1/29/2023,5/17/2023,
710,AH0P06298520,8/16/2022,,2022,Westminster,Orange,CA,33.74,-117.96,OFF,Bactrocera dorsalis,Fig,1,,,,,Adult,Quarantine,,22CA-E08-F01,22CA-ORA01.01,22CA-ORA01.01,Jackson,,,9/24/2022,11/22/2022,3/28/2023,
709,LH0P50020023,8/14/2023,,2023,Stevenson Ranch,Los Angeles,CA,34.38,-118.59,Z. tau,Zeugodacus tau,Fig,1,,,,,Adult,Quarantine,,,23CA-ANG01.01,23CA-ANG01.01,McPhail,,,9/7/2023,10/7/2023,11/20/2023,
708,LH0P50020022,8/11/2023,,2023,Newhall,Los Angeles,CA,34.38,-118.57,Z. tau,Zeugodacus tau,Ornamental tree,1,,,,,Adult,Quarantine,,,23CA-ANG01.01,23CA-ANG01.01,Jackson,,,,,,
707,LH0P50020021,8/11/2023,,2023,Stevenson Ranch,Los Angeles,CA,34.37,-118.59,Z. tau,Zeugodacus tau,Lemon,1,,,,,Adult,Quarantine,,,23CA-ANG01.01,23CA-ANG01.01,McPhail,,,,,,
706,LH0P50020010,8/10/2023,,2023,Stevenson Ranch,Los Angeles,CA,34.37,-118.58,Z. tau,Zeugodacus tau,Ornamental tree,2,,,,,Adult,Quarantine,,,23CA-ANG01.01,23CA-ANG01.01,Jackson,,,,,,
705,LH0P50020009,8/10/2023,,2023,Stevenson Ranch,Los Angeles,CA,34.39,-118.59,Z. tau,Zeugodacus tau,Apple,1,,,,,Adult,Quarantine,,,23CA-ANG01.01,23CA-ANG01.01,Jackson,,,,,,
704,LH0P50020008,8/10/2023,,2023,Valencia,Los Angeles,CA,34.42,-118.57,Z. tau,Zeugodacus tau,Ornamental tree,1,,,,,Adult,Quarantine,,,23CA-ANG01.01,23CA-ANG01.01,Jackson,,,,,,
703,LH0P50020007,8/10/2023,,2023,Santa Clarita,Los Angeles,CA,34.39,-118.56,Z. tau,Zeugodacus tau,Ornamental tree,1,,,,,Adult,Quarantine,,,23CA-ANG01.01,23CA-ANG01.01,Jackson,,,,,,
702,LH0P50018199,8/9/2023,,2023,Stevenson Ranch,Los Angeles,CA,34.38,-118.57,Z. tau,Zeugodacus tau,Ornamental tree,1,,,,,Adult,Quarantine,,,23CA-ANG01.01,23CA-ANG01.01,Jackson,,,,,,
701,LH0P50018198,8/7/2023,,2023,Valencia,Los Angeles,CA,34.4,-118.58,Z. tau,Zeugodacus tau,oak tree,1,,,,,Adult,Quarantine,,,23CA-ANG01.01,23CA-ANG01.01,Jackson,,,,,,
700,LH0P50018193,8/7/2023,,2023,Stevenson Ranch,Los Angeles,CA,34.39,-118.59,Z. tau,Zeugodacus tau,Ornamental tree,1,,,,,Adult,Quarantine,,,23CA-ANG01.01,23CA-ANG01.01,Jackson,,,,,,
699,LH0P50018194,8/7/2023,,2023,Stevenson Ranch,Los Angeles,CA,34.39,-118.59,Z. tau,Zeugodacus tau,Ornamental Pear,1,,,,,Adult,Quarantine,,,23CA-ANG01.01,23CA-ANG01.01,Jackson,,,,,,
698,LH0P50018195,8/7/2023,,2023,Stevenson Ranch,Los Angeles,CA,34.38,-118.59,Z. tau,Zeugodacus tau,oak tree,1,,,,,Adult,Quarantine,,,23CA-ANG01.01,23CA-ANG01.01,Jackson,,,,,,
697,LH0P50018196,8/7/2023,,2023,Stevenson Ranch,Los Angeles,CA,34.38,-118.59,Z. tau,Zeugodacus tau,Ornamental Pear,1,,,,,Adult,Quarantine,,,23CA-ANG01.01,23CA-ANG01.01,Jackson,,,,,,
696,LH0P50018197,8/7/2023,,2023,Stevenson Ranch,Los Angeles,CA,34.39,-118.58,Z. tau,Zeugodacus tau,Pepper Tree,1,,,,,Adult,Quarantine,,,23CA-ANG01.01,23CA-ANG01.01,Jackson,,,,,,
695,LH0P50020006,8/4/2023,,2023,Stevenson Ranch,Los Angeles,CA,34.38,-118.59,Z. tau,Zeugodacus tau,Ornamental tree,1,,,,,Adult,Quarantine,,,23CA-ANG01.01,23CA-ANG01.01,Jackson,,,,,,
694,LH0P50020005,8/4/2023,,2023,Stevenson Ranch,Los Angeles,CA,34.39,-118.6,Z. tau,Zeugodacus tau,Ornamental tree,1,,,,,Adult,Quarantine,,,23CA-ANG01.01,23CA-ANG01.01,Jackson,,,,,,
693,LH0P50020004,8/4/2023,,2023,Stevenson Ranch,Los Angeles,CA,34.38,-118.59,Z. tau,Zeugodacus tau,Ornamental tree,1,,,,,Adult,Quarantine,,,23CA-ANG01.01,23CA-ANG01.01,Jackson,,,,,,
692,LH0P50020003,8/4/2023,,2023,Stevenson Ranch,Los Angeles,CA,34.38,-118.6,Z. tau,Zeugodacus tau,Ornamental tree,1,,,,,Adult,Quarantine,,,23CA-ANG01.01,23CA-ANG01.01,Jackson,,,,,,
691,LH0P50020002,8/4/2023,,2023,Stevenson Ranch,Los Angeles,CA,34.39,-118.59,Z. tau,Zeugodacus tau,Ornamental tree,1,,,,,Adult,Quarantine,,,23CA-ANG01.01,23CA-ANG01.01,Jackson,,,,,,
690,LH0P50018160,8/3/2023,,2023,Stevenson Ranch,Los Angeles,CA,34.38,-118.59,Z. tau,Zeugodacus tau,Ornamental tree,1,,,,,Adult,Quarantine,,,23CA-ANG01.01,23CA-ANG01.01,Jackson,,,,,,
689,LH0P50018157,7/25/2023,,2023,Stevenson Ranch,Los Angeles,CA,34.38,-118.6,Z. tau,Zeugodacus tau,Persimmon,1,,,,,Adult,Quarantine,,,23CA-ANG01.01,23CA-ANG01.01,Jackson,,,8/17/2023,9/11/2023,10/14/2023,
688,LH0P50018156,7/25/2023,,2023,Stevenson Ranch,Los Angeles,CA,34.38,-118.59,Z. tau,Zeugodacus tau,Peach,1,,,,,Adult,Quarantine,,,23CA-ANG01.01,23CA-ANG01.01,Jackson,,,8/17/2023,9/11/2023,10/14/2023,
687,LH0P50018155,7/24/2023,,2023,Stevenson Ranch,Los Angeles,CA,34.38,-118.59,Z. tau,Zeugodacus tau,Fig,1,,,,,Adult,Quarantine,,,23CA-ANG01.01,23CA-ANG01.01,Jackson,,,8/17/2023,9/11/2023,10/14/2023,
686,LH0P50018154,7/24/2023,,2023,Stevenson Ranch,Los Angeles,CA,34.38,-118.59,Z. tau,Zeugodacus tau,Lemon,1,,,,,Adult,Quarantine,,,23CA-ANG01.01,23CA-ANG01.01,Jackson,,,8/14/2023,9/8/2023,10/9/2023,
685,LH0P50018153,7/18/2023,,2023,Stevenson Ranch,Los Angeles,CA,34.39,-118.59,Z. tau,Zeugodacus tau,Ornamental tree,1,,,,,Adult,Quarantine,,,23CA-ANG01.01,23CA-ANG01.01,Jackson,,,8/9/2023,9/4/2023,10/3/2023,
684,LH0P50018190,7/17/2023,,2023,Stevenson Ranch,Los Angeles,CA,34.39,-118.59,Z. tau,Zeugodacus tau,Apple,1,,,,,Adult,Quarantine,,,23CA-ANG01.01,23CA-ANG01.01,Jackson,,,8/6/2023,8/31/2023,9/28/2023,
683,LH0P50018152,7/14/2023,,2023,Stevenson Ranch,Los Angeles,CA,34.39,-118.6,Z. tau,Zeugodacus tau,Lemon,1,,,,,Adult,Quarantine,,,23CA-ANG01.01,23CA-ANG01.01,McPhail,,,8/5/2023,8/30/2023,9/27/2023,
682,LH0P50018151,7/14/2023,,2023,Stevenson Ranch,Los Angeles,CA,34.38,-118.6,Z. tau,Zeugodacus tau,Lemon,1,,,,,Adult,Quarantine,,,23CA-ANG01.01,23CA-ANG01.01,Jackson,,,8/5/2023,8/30/2023,9/27/2023,
681,LH0P50018150,7/13/2023,,2023,Stevenson Ranch,Los Angeles,CA,34.39,-118.6,Z. tau,Zeugodacus tau,Lemon,1,,,,,Adult,Quarantine,,,23CA-ANG01.01,23CA-ANG01.01,Jackson,,,8/4/2023,8/29/2023,9/26/2023,
680,LH0P50018149,7/13/2023,,2023,Stevenson Ranch,Los Angeles,CA,34.39,-118.59,Z. tau,Zeugodacus tau,Magnolia,1,,,,,Adult,Quarantine,,,23CA-ANG01.01,23CA-ANG01.01,Jackson,,,8/4/2023,8/29/2023,9/26/2023,
679,LH0P50018148,7/11/2023,,2023,Stevenson Ranch,Los Angeles,CA,34.39,-118.59,Z. tau,Zeugodacus tau,Fig,1,,,,,Adult,Quarantine,,,23CA-ANG01.01,23CA-ANG01.01,McPhail,,,8/2/2023,8/27/2023,9/24/2023,
678,LH0P50018147,7/11/2023,,2023,Stevenson Ranch,Los Angeles,CA,34.39,-118.6,Z. tau,Zeugodacus tau,Lemon,,1,,,,Adult,Quarantine,,,23CA-ANG01.01,23CA-ANG01.01,McPhail,,,8/2/2023,8/27/2023,9/24/2023,
677,LH0P50018146,7/11/2023,,2023,Stevenson Ranch,Los Angeles,CA,34.39,-118.59,Z. tau,Zeugodacus tau,Fig,1,,,,,Adult,Quarantine,,,23CA-ANG01.01,23CA-ANG01.01,McPhail,,,8/1/2023,8/27/2023,9/23/2023,
676,LH0P50010044,7/10/2023,,2023,Stevenson Ranch,Los Angeles,CA,34.39,-118.59,Z. tau,Zeugodacus tau,Fig,1,,,,,Adult,Quarantine,,,23CA-ANG01.01,23CA-ANG01.01,McPhail,,,7/31/2023,8/26/2023,9/22/2023,
675,LH0P50010043,7/10/2023,,2023,Stevenson Ranch,Los Angeles,CA,34.39,-118.59,Z. tau,Zeugodacus tau,Fig,,1,,,,Adult,Quarantine,,,23CA-ANG01.01,23CA-ANG01.01,McPhail,,,7/31/2023,8/25/2023,9/21/2023,
674,LH0P50018145,7/7/2023,,2023,Stevenson Ranch,Los Angeles,CA,34.39,-118.59,Z. tau,Zeugodacus tau,Fig,2,2,,,,Adult,Quarantine,,,23CA-ANG01.01,23CA-ANG01.01,McPhail,,,7/30/2023,8/24/2023,9/20/2023,
